Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Dugway Road,41.958059,-73.3709973,tertiary,3352289,,crossing.csv,,,,,
Dutch Hollow Road,41.27367965539855,-74.25421297,tertiary,2007688,CR 5,crossing.csv,,,,,
East 3rd Street,36.634005,-81.78365,trunk,2007649,US 58,crossing.csv,,,,,
East 4th Street,36.63294922123525,-81.78352319,residential,2007649,SR T1215,crossing.csv,,,,,
East 5th Street,36.631822639020115,-81.78338668,residential,2007649,SR T1209,crossing.csv,,,,,
East B Hill Road,44.66789509999999,-70.893029,residential,2007932,,crossing.csv,,,,,
East Housatonic Street,42.4695205,-73.1589536,tertiary,2991960,,crossing.csv,,,,,
East Laurel Avenue,36.63400952741341,-81.78512601,trunk,2007649,US 58,crossing.csv,,,,,
East Main Street,42.561648,-73.154608,residential,2991960,,crossing.csv,,,,,
East Mombasha Road,41.2662228,-74.1939907,tertiary,2007688,,crossing.csv,,,,,
Elk Pen Road,41.2648195,-74.1543065,service,2007688,,crossing.csv,,,,,
Elm Street,43.70899400000003,-72.318334,residential,392991,,crossing.csv,,,,,
Elon Road,37.59676951175086,-79.39001105,trunk,2007649,US 501;VA 130,crossing.csv,,,,,
Enoch Hollow Road,39.9470816,-77.4912226,track,394916,,crossing.csv,,,,,
Etna Road,43.70394621,-72.21196562,tertiary,2007646,,crossing.csv,,,,,
Fairwood Road,36.696628135464096,-81.50639346,tertiary,2007649,SR 603,crossing.csv,,,,,
Falls Mountain Road,41.95828972300248,-73.37065496,tertiary,3352289,,crossing.csv,,,,,
Fegley Road,39.9830022,-77.4294432,track,394916,,crossing.csv,,,,,
Ferguson Road,41.321477,-74.616495,residential,2007688,,crossing.csv,,,,,
Fiery Run Road,38.89753536997701,-78.07181149,unclassified,2007649,SR 638,crossing.csv,,,,,
Fisher Street,40.38676519127344,-77.03159103,residential,394916,,crossing.csv,,,,,
Fiske Street,42.565276622658544,-73.1556563,residential,2991960,,crossing.csv,,,,,
Flat Top Road,36.04461824514247,-82.42761798,track,2007647,FS 278,crossing.csv,,,,,
Flatbrookville - Stillwater Road,41.08938349512181,-74.91227273,unclassified,2007688,624,crossing.csv,,,,,
Fontana Dam Road,35.4516345,-83.8004119,unclassified,2007645,,crossing.csv,,,,,
Fontana Dam Road,35.45271229999996,-83.8025029,unclassified,2007645,,crossing.csv,,,,,
Fontana Road,35.441100286582085,-83.79543023,secondary,2007645,NC 28,crossing.csv,,,,,
Forest Highway 71,43.053807264120515,-72.99023332,unclassified,392991,NF 71,crossing.csv,,,,,
Forest Road,40.00814059999999,-77.3948032,track,394916,,crossing.csv,,,,,
Forest Road,40.01855245529276,-77.3808196,track,394916,,crossing.csv,,,,,
Forest Road 383,43.06105913001577,-72.96780933,track,392991,FR 383,crossing.csv,,,,,
Forest Road 86,36.853812736614245,-81.36468269,track,2007649,,crossing.csv,,,,,
Fort Franklin Road,40.69429067785782,-75.84167123,residential,394916,,crossing.csv,,,,,
Forth Street,40.396488282155495,-77.02677645,service,394916,,crossing.csv,,,,,
Foxville Road,39.63705372228715,-77.54122036,primary,2007644,MD 77,crossing.csv,,,,,
FR 246,37.788925011231534,-79.17197151,track,2007649,,crossing.csv,,,,,
FR 246,37.82506089999998,-79.1426727,track,2007649,,crossing.csv,,,,,
FR 507,37.727169,-79.2435849,track,2007649,,crossing.csv,,,,,
Fritz Avenue,40.40116999999999,-77.020461,residential,394916,,crossing.csv,,,,,
FS 148A,35.77303030969302,-82.9957572,track,2007647,FS 148A,crossing.csv,,,,,
FS 225701,35.7748875,-83.1092817,track,2007647,FS 225701,crossing.csv,,,,,
FS 225702,35.777892641453356,-83.11096202,track,2007647,FS 225702,crossing.csv,,,,,
FS 3210,35.98594148425594,-82.78562692,track,2007647,FS 3210,crossing.csv,,,,,
FS 3503,35.85089940210626,-82.88500684,track,2007647,FS 3503,crossing.csv,,,,,
FS 3506,35.85357282941327,-82.89635292,track,2007647,FS 3506,crossing.csv,,,,,
FS 3534,35.792730577402885,-82.95821692,track,2007647,FS 3534,crossing.csv,,,,,
FS 3535,35.80131887810992,-82.94526894,track,2007647,FS 3535,crossing.csv,,,,,
FS 5506,36.04469283368395,-82.42772434,track,2007647,FS 5506,crossing.csv,,,,,
Furnace Hill Road,42.55939109062784,-73.15484125,residential,2991960,,crossing.csv,,,,,
GA 60,34.677622182456716,-83.99998121,secondary,2007643,GA 60,crossing.csv,,,,,
Gaddistown Road,34.6530261,-84.08453531,track,2007643,FS 15,crossing.csv,,,,,
Gainesville Highway,34.73543149499307,-83.91816048,trunk,2007643,US 19;US 129;GA 11,crossing.csv,,,,,
Gapland Road,39.4057277,-77.6396702,tertiary,2007644,,crossing.csv,,,,,
Geary Wolfe Road,40.5069112,-76.3771108,secondary,394916,PA 645,crossing.csv,,,,,
Gemmer Road,41.31639135182715,-74.6081492,residential,2007688,,crossing.csv,,,,,
Glade Mountain Road,36.83482454295682,-81.3705951,track,2007649,,crossing.csv,,,,,
